Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9168393165,2021-10-04 00:04:18,2021-10-03 16:06:00,Laguna Beach,California,949,Charities,Y
3363650538,2021-10-04 00:09:27,2021-09-30 11:36:00,Spring,Texas,281,Dropped call or no message,Y
6019099738,2021-10-04 00:09:57,2021-09-28 11:17:00,,Mississippi,601,No Subject Provided,Y
2818100282,2021-10-04 00:10:18,2021-09-30 12:34:00,Spring,Texas,281,Dropped call or no message,Y
,2021-10-04 00:10:37,2021-09-27 00:00:00,Henderson,North Carolina,252,Warranties  & protection plans,
3462458796,2021-10-04 00:11:19,2021-10-01 09:51:00,Spring,Texas,281,Dropped call or no message,Y
4092302502,2021-10-04 00:12:43,2021-10-01 12:12:00,Spring,Texas,281,Dropped call or no message,Y
2818555105,2021-10-04 00:13:31,2021-10-01 16:50:00,Spring,Texas,281,Dropped call or no message,Y
2818100282,2021-10-04 00:15:25,2021-09-30 12:34:00,Spring,Texas,281,Dropped call or no message,Y
6189975336,2021-10-04 00:20:54,2021-10-02 11:51:00,,Michigan,616,Medical  & prescriptions,Y
6098304018,2021-10-04 00:21:38,2021-10-03 19:21:00,,New Jersey,973,No Subject Provided,Y
5304791044,2021-10-04 00:34:14,2021-09-21 16:26:00,,California,310,Warranties  & protection plans,Y
3105048031,2021-10-04 00:35:16,2021-09-21 09:41:00,,California,310,Warranties  & protection plans,Y
6163845974,2021-10-04 00:40:29,2021-10-02 12:00:00,,Arizona,480,"Lotteries, prizes  & sweepstakes",N
6576564812,2021-10-04 00:41:12,2021-10-01 13:15:00,Donalsonville,Georgia,229,Medical  & prescriptions,Y
5623836925,2021-10-04 00:46:11,2021-10-03 13:32:00,Valencia,California,661,Home improvement  & cleaning,Y
6173936909,2021-10-04 00:46:27,2021-10-03 22:14:00,Oak Park,Illinois,708,Other,N
,2021-10-04 00:46:54,2021-08-31 00:00:00,,New Jersey,732,"Reducing your debt (credit cards, mortgage, student loans)",Y
9083738416,2021-10-04 00:49:50,2021-10-03 22:58:00,Oak Park,Illinois,708,Other,N
9174429362,2021-10-04 01:02:44,2021-09-28 16:06:00,Salt Lake City,Utah,801,Warranties  & protection plans,Y
5594143190,2021-10-04 01:10:38,2021-10-02 09:43:00,Walnut Creek,California,925,Dropped call or no message,Y
8889737214,2021-10-04 01:11:31,2021-10-02 09:43:00,Walnut Creek,California,925,Dropped call or no message,Y
8056352041,2021-10-04 01:18:33,2021-10-03 09:57:00,Tehachapi,California,661,Other,Y
4699100418,2021-10-04 01:44:48,2021-09-13 11:53:00,,California,530,Other,N
4699100418,2021-10-04 01:46:56,2021-09-01 06:00:00,,California,530,Other,N
